"vsrl_a6321","vsrl_a6335","vsrl_a6340","sirenidetablissementaffectationiddeclaration","nicidetablissementaffectationiddeclaration","anneemoisdeclareiddeclarationmensuelle","statutdeclaration","typedeclaration","ordre","fraction","statutenveloppe","idenvarchive","ididarchivedsn","datemodification","versionnorme","pointdepot","modedepot","origineflux","type","idtpt"
"19511004","17929617","30406720","305405045","02641","2022-09-01","02","01","220929122229251","1","01","000001","WSKWgvJTv.2TqBLBXPRuMf5","2022-09-29 17:53:35.064","P22V01","01","MtoM","CNAV","HISTO_IJ","\N"
"19511005","17929618","30406721","305405045","02641","2022-09-01","02","01","220929122229251","1","01","000001","WSKWgvJTv.2TqBLBXPRuMf5","2022-09-29 17:53:35.441","P22V01","01","MtoM","CNAV","HISTO_IJ","\N"
"19201926","17640508","29904619","306424417","00039","2022-08-01","02","01","3","1","01","000001","WSrAqlyiJi3tJnB5aWY3qlo","2022-09-06 13:53:15.941","P22V01","02","MtoM","MSADO","DSN","\N"
"19201929","17640510","29904621","306424417","00039","2022-08-01","02","01","1","2","01","000001","WSVm0Sm4f0der.KBHmLCP7v","2022-09-06 13:53:16.863","P22V01","02","MtoM","MSADO","DSN","\N"
"19434492","17858318","30288430","330981291","00033","2022-08-01","02","01","220922105834539","1","01","000001","WS9QBytgkLaQoVBZwlxHfEf","2022-09-22 11:06:15.615","P22V01","02","MtoM","MSADO","DSN","\N"
"19434493","17858319","30288431","330981291","00033","2022-08-01","02","01","220922105827682","2","01","000001","WSyGQhRW4TWIJ1G9t0VJWBn","2022-09-22 11:06:16.167","P22V01","02","MtoM","MSADO","DSN","\N"
"19708351","18114704","30733994","343279386","00043","2022-09-01","02","01","0","1","01","000001","A3g6yaN8bS0JIfINr22Gf4I","2022-10-11 12:10:29.58","P22V01","01","upload","CNAV","HISTO_IJ","\N"
"19708355","18114708","30733998","343279386","00043","2022-09-01","02","01","0","1","01","000001","A3g6yaN8bS0JIfINr22Gf4I","2022-10-11 12:10:30.271","P22V01","01","upload","CNAV","HISTO_IJ","\N"
"19385496","17813649","30219783","351273818","00010","2022-08-01","01","02","220915110041424","1","01","000001","WSf8iST3l8HSr-KpWdb3fNU","2022-09-15 11:05:53.122","P22V01","02","MtoM","CTIP","DSN_OC","\N"
"19385498","17813650","30219784","351273818","00010","2022-08-01","01","02","220915110041424","1","01","000001","WSf8iST3l8HSr-KpWdb3fNU","2022-09-15 11:05:53.482","P22V01","02","MtoM","CTIP","DSN_OC","\N"
"19385500","17813652","30219786","352999569","00010","2022-08-01","01","02","220915110036149","1","01","000001","WShqEIy2UsqkrlHpq0FSqVO","2022-09-15 11:05:53.894","P22V01","02","MtoM","CTIP","DSN_OC","\N"
"19385501","17813653","30219787","352999569","00010","2022-08-01","01","02","220915110036149","1","01","000001","WShqEIy2UsqkrlHpq0FSqVO","2022-09-15 11:05:54.213","P22V01","02","MtoM","CTIP","DSN_OC","\N"
"19758139","18161072","30818960","367801404","00404","2022-09-01","02","01","1","1","01","000011","A7DoWt5NswH5IaNFI8KC5mr","2022-10-13 11:02:05.407","P22V01","01","upload","CNAV","HISTO_IJ","\N"
"19758140","18161073","30818964","367801404","00404","2022-09-01","02","01","1","1","01","000011","A7DoWt5NswH5IaNFI8KC5mr","2022-10-13 11:02:06.081","P22V01","01","upload","CNAV","HISTO_IJ","\N"
"19693948","18101042","30710439","380170779","00017","2022-09-01","01","01","221011082953940","1","01","000001","WS4ixyZAhcdCYoN90vtQlCs","2022-10-11 08:35:57.403","P22V01","02","MtoM","CTIP","DSN_OC","\N"
"19693949","18101043","30710441","380170779","00017","2022-09-01","01","01","221011082953940","1","01","000001","WS4ixyZAhcdCYoN90vtQlCs","2022-10-11 08:35:57.73","P22V01","02","MtoM","MSADO","DSN","\N"
"19513792","17932372","30411458","382203990","00025","2022-09-01","02","01","220930092416997","1","01","000001","WSj0OdmVpJeMraItlmwGiTz","2022-09-30 09:25:14.291","P22V01","02","MtoM","MSADO","DSN","\N"
"19513793","17932373","30411459","382203990","00025","2022-09-01","02","01","220930092432798","2","01","000001","WS6Kmpa3NYKpJjDFmGn.Zyo","2022-09-30 09:25:14.947","P22V01","02","MtoM","MSADO","DSN","\N"
"19135388","17579251","29799474","385115449","00014","2022-08-01","02","01","0","2","01","000001","WSgN40zse7edrhCB1qpd7W3","2022-09-02 08:48:11.857","P22V01","02","MtoM","MSADO","DSN","\N"
"19135389","17579252","29799475","385115449","00014","2022-08-01","02","01","1","1","01","000001","WS05PYCREakGo7C514lhNUK","2022-09-02 08:48:12.533","P22V01","02","MtoM","MSADO","DSN","\N"
"19749091","18152456","30802813","385204441","00013","2022-09-01","01","01","221012172342958","1","01","000001","WSwhiIbmFKreZqERm7MrcNd","2022-10-12 17:32:26.769","P22V01","02","MtoM","CTIP","DSN_OC","\N"
"19749094","18152458","30802815","385204441","00013","2022-09-01","01","01","221012172342958","1","01","000001","WSwhiIbmFKreZqERm7MrcNd","2022-10-12 17:32:27.226","P22V01","02","MtoM","CTIP","DSN_OC","\N"
"19147125","17590300","29817497","389405929","00016","2022-08-01","02","01","1","1","01","000001","WSuPjrvhhOhR5EJh9XW14wa","2022-09-02 13:34:04.454","P22V01","01","MtoM","CNAV","HISTO_IJ","\N"
"19147126","17590301","29817498","389405929","00016","2022-08-01","02","01","1","1","01","000001","WSuPjrvhhOhR5EJh9XW14wa","2022-09-02 13:34:04.85","P22V01","01","MtoM","CNAV","HISTO_IJ","\N"
"19277153","17712212","30034504","394423487","00021","2022-08-01","01","01","0","1","01","000001","WSfzCAHEkxc37WNdrk1C.lM","2022-09-09 13:50:58.375","P22V01","02","MtoM","CTIP","DSN_OC","\N"
"19277155","17712213","30034505","394423487","00021","2022-08-01","01","01","0","1","01","000001","WSfzCAHEkxc37WNdrk1C.lM","2022-09-09 13:50:58.763","P22V01","02","MtoM","CTIP","DSN_OC","\N"
"19534000","17950404","30441784","400870721","00018","2022-09-01","01","01","221003083732538","1","01","000001","WS9yyFtAEFbK6pA54UPQh44","2022-10-03 08:41:09.356","P22V01","02","MtoM","CTIP","DSN_OC","\N"
"19534001","17950405","30441785","400870721","00018","2022-09-01","01","02","221003083732538","1","01","000001","WS9yyFtAEFbK6pA54UPQh44","2022-10-03 08:41:09.59","P22V01","02","MtoM","CTIP","DSN_OC","\N"
"19671368","18079387","30667058","401187430","00020","2022-09-01","02","01","221010105550728","1","01","000001","WSRVHYX50f1zabOFpoMpK5S","2022-10-10 12:07:56.112","P22V01","02","MtoM","MSADO","DSN","\N"
"19671371","18079392","30667069","401187430","00020","2022-09-01","02","02","221010105534989","2","01","000001","WSTeZqBooP3vbYENqnxaf9R","2022-10-10 12:07:58.703","P22V01","02","MtoM","MSADO","DSN","\N"
"19606163","18017595","30557302","403174154","00019","2022-09-01","02","01","221006092947706","2","01","000001","WSLzFmOAupaMIxKhE-ugKR8","2022-10-06 09:37:35.949","P22V01","02","MtoM","MSADO","DSN","\N"
"19606165","18017597","30557304","403174154","00019","2022-09-01","02","02","221006092957291","1","01","000001","WSLm-f6dY8ogZwHZ1Fku0UV","2022-10-06 09:37:37.147","P22V01","02","MtoM","MSADO","DSN","\N"
"19340030","17771135","30142959","403228257","00016","2022-08-01","02","01","220913105250295","2","01","000001","WS65dJDzTtRZ6GJxnbDallK","2022-09-13 11:34:56.601","P22V01","02","MtoM","MSADO","DSN","\N"
"19340033","17771137","30142961","403228257","00016","2022-08-01","02","01","220913105248474","1","01","000001","WS0SY9B4N9vOqGBZnF.8U2T","2022-09-13 11:34:57.288","P22V01","02","MtoM","MSADO","DSN","\N"
"19240456","17677320","29971835","404155418","00027","2022-08-01","02","01","0","2","01","000001","WS-fdGtmeAI07GMpi9DGJyO","2022-09-08 09:55:30.973","P22V01","02","MtoM","MSADO","DSN","\N"
"19240459","17677322","29971837","404155418","00027","2022-08-01","02","01","1","1","01","000001","WSOSk4xiN-1EraCVIzcvYv9","2022-09-08 09:55:32.075","P22V01","02","MtoM","MSADO","DSN","\N"
"19034391","17508677","29681785","411901176","00023","2022-08-01","02","01","0","2","01","000001","WSIR-PYhzo2RJyKdxO2.qo6","2022-08-26 15:36:19.592","P22V01","02","MtoM","MSADO","DSN","\N"
"19034394","17508680","29681788","411901176","00023","2022-08-01","02","01","1","1","01","000001","WSebXAEAjM8mK7JN5h2zI6h","2022-08-26 15:36:20.066","P22V01","02","MtoM","MSADO","DSN","\N"
"19330589","17762134","30128063","412262578","00013","2022-08-01","01","01","0","1","01","000001","WSJtIQGt7vp.78PdjNJGqxv","2022-09-13 08:00:47.564","P22V01","02","MtoM","CTIP","DSN_OC","\N"
"19330591","17762135","30128070","412262578","00013","2022-08-01","01","01","0","1","01","000001","WSJtIQGt7vp.78PdjNJGqxv","2022-09-13 08:00:49.247","P22V01","02","MtoM","MSADO","DSN","\N"
"19211778","17649992","29920993","419475967","00016","2022-08-01","01","01","220906173150786","1","01","000001","WSZr05XXs2294SFZKESbywt","2022-09-06 17:36:17.658","P22V01","02","MtoM","CTIP","DSN_OC","\N"
"19211779","17649993","29920994","419475967","00016","2022-08-01","01","01","220906173150786","1","01","000001","WSZr05XXs2294SFZKESbywt","2022-09-06 17:36:17.93","P22V01","02","MtoM","CTIP","DSN_OC","\N"
"19803441","18203967","30894038","428722458","00018","2022-09-01","01","02","221018150346545","1","01","000001","WSxhrTZvTs6G40I1PvdicjP","2022-10-18 15:05:50.822","P22V01","02","MtoM","CTIP","DSN_OC","\N"
