"vsrl_a6321","vsrl_a6335","vsrl_a6340","sirenidetablissementaffectationiddeclaration","nicidetablissementaffectationiddeclaration","anneemoisconstitutionidsignalement","natureiddeclaration","statutdeclaration","typedeclaration","ordre","fraction","statutenveloppe","idenvarchive","ididarchivedsn","datemodification","versionnorme","pointdepot","modedepot","origineflux","type","idtpt"
"19810759","18210997","30905607","330852534","00016","202210","04","01","01","221019141150006","1","01","000001","WSSFx0x138HCaYC95P2JGR5","2022-10-19 14:30:11.189","P22V01","02","MtoM","CNAV","HISTO_IJ","\N"
"19810760","18210998","30905608","330852534","00016","202210","04","01","01","221019141150006","1","01","000001","WSSFx0x138HCaYC95P2JGR5","2022-10-19 14:30:12.103","P22V01","02","MtoM","MSADO","DSN","\N"
"19452053","17874563","30313639","338712169","00014","202209","04","01","01","220923161534100","1","01","000001","WSR.UBrtxOIuL5GN4EgEzVQ","2022-09-23 16:15:39.193","P22V01","02","MtoM","CNAV","HISTO_IJ","\N"
"19452054","17874564","30313640","338712169","00014","202209","04","01","01","220923161534100","1","01","000001","WSR.UBrtxOIuL5GN4EgEzVQ","2022-09-23 16:15:39.415","P22V01","02","MtoM","MSADO","DSN","\N"
"19596418","18008283","30539834","392387338","00016","202210","04","01","01","221005150132561","1","01","000001","WSuxdROwwDab51MRsMHZadP","2022-10-05 15:02:07.227","P22V01","02","MtoM","MSADO","DSN","\N"
"19596419","18008284","30539835","392387338","00016","202210","04","01","01","221005150132561","1","01","000001","WSuxdROwwDab51MRsMHZadP","2022-10-05 15:02:07.674","P22V01","02","MtoM","CNAV","HISTO_IJ","\N"
"19809621","18209886","30903903","395311889","00012","202210","04","01","01","221019114904786","1","01","000001","WS3XjfA0NqUaL9NBWnWbb18","2022-10-19 11:49:07.849","P22V01","02","MtoM","MSADO","DSN","\N"
"19809622","18209887","30903904","395311889","00012","202210","04","01","01","221019114904786","1","01","000001","WS3XjfA0NqUaL9NBWnWbb18","2022-10-19 11:49:08.999","P22V01","02","MtoM","CNAV","HISTO_IJ","\N"
"19301189","17734108","30075471","400580841","00015","202209","04","01","01","1001808","1","01","000001","WS5ynRNtCRkDZmHtslSi0es","2022-09-12 11:16:11.247","P22V01","02","MtoM","CNAV","HISTO_IJ","\N"
"19301190","17734109","30075474","400580841","00015","202209","04","01","01","1001808","1","01","000001","WS5ynRNtCRkDZmHtslSi0es","2022-09-12 11:16:11.775","P22V01","02","MtoM","MSADO","DSN","\N"
"19385569","17813714","30219944","410155378","00020","202209","04","01","01","2927","1","01","000001","WSDfgVVtVw4b53KJ.wXZ8NQ","2022-09-15 11:07:33.862","P22V01","02","MtoM","CNAV","HISTO_IJ","\N"
"19385570","17813715","30219946","410155378","00020","202209","04","01","01","2927","1","01","000001","WSDfgVVtVw4b53KJ.wXZ8NQ","2022-09-15 11:07:34.725","P22V01","02","MtoM","MSADO","DSN","\N"
"19356308","17786292","30169924","421435801","00020","202209","04","01","01","220913171417384","1","01","000001","F1tDB6XvMEsG6EGZ5O.w6Z0","2022-09-13 17:21:42.375","P22V01","02","upload","MSADO","DSN","\N"
"19356310","17786294","30169926","421435801","00020","202209","04","01","01","220913171417384","1","01","000001","F1tDB6XvMEsG6EGZ5O.w6Z0","2022-09-13 17:21:42.644","P22V01","02","upload","CNAV","HISTO_IJ","\N"
"19762936","18165820","30827197","428611719","00504","202210","04","01","01","23425454","1","01","000001","WS3OyMFkEPh7oXGxWh9-P-W","2022-10-13 14:14:20.404","P22V01","02","MtoM","MSADO","DSN","\N"
"19762940","18165824","30827201","428611719","00504","202210","04","01","01","23425454","1","01","000001","WS3OyMFkEPh7oXGxWh9-P-W","2022-10-13 14:14:21.719","P22V01","02","MtoM","CNAV","HISTO_IJ","\N"
"19641795","18051508","30618339","440271716","00019","202210","04","01","01","265092","1","01","000001","WS3GC8VXUFA5YIIZJ.jrsfq","2022-10-07 14:22:22.729","P22V01","02","MtoM","MSADO","DSN","\N"
"19641801","18051511","30618343","440271716","00019","202210","04","01","01","265092","1","01","000001","WS3GC8VXUFA5YIIZJ.jrsfq","2022-10-07 14:22:23.333","P22V01","02","MtoM","CNAV","HISTO_IJ","\N"
"19228420","17666013","29950467","453974875","00016","202209","04","01","01","220907153901557","1","01","000001","WSPLg4cD6PraK.MBgvAFKii","2022-09-07 15:39:04.744","P22V01","02","MtoM","MSADO","DSN","\N"
"19228421","17666015","29950469","453974875","00016","202209","04","01","01","220907153901557","1","01","000001","WSPLg4cD6PraK.MBgvAFKii","2022-09-07 15:39:05.876","P22V01","02","MtoM","CNAV","HISTO_IJ","\N"
"19495779","17914960","30384202","479476301","00029","202209","04","01","01","220929082021267","1","01","000001","WSNiB5dsdBJZb-FxjMJ7bqB","2022-09-29 08:20:23.366","P22V01","02","MtoM","MSADO","DSN","\N"
"19495780","17914961","30384203","479476301","00029","202209","04","01","01","220929082021267","1","01","000001","WSNiB5dsdBJZb-FxjMJ7bqB","2022-09-29 08:20:23.627","P22V01","02","MtoM","CNAV","HISTO_IJ","\N"
"19298481","17731500","30071163","481184836","00015","202209","04","01","01","220912102322248","1","01","000001","WS3abC0zWgKX7kDZ32Dypx3","2022-09-12 10:23:26.676","P22V01","02","MtoM","CNAV","HISTO_IJ","\N"
"19298482","17731501","30071164","481184836","00015","202209","04","01","01","220912102322248","1","01","000001","WS3abC0zWgKX7kDZ32Dypx3","2022-09-12 10:23:26.97","P22V01","02","MtoM","MSADO","DSN","\N"
